Site	UTM Easting	UTM Northing	Mongahela Cordmarked Frequency	Mongahela Plain Frequency	Scarem Plain Frequency	Mongahela Punctate Frequency	Mongahela Incised Frequency	Watson Cordmarked Frequency	Watson Plain Frequency	Watson Plain Frequency	Mahoning Cordmarked Frequency	Mahoning Plain Frequency	Mahoning Incised Frequency	McKees Rocks Plain Frequency	Wellsburg Simple Stamped Frequency	Half-Moon Cordmarked Frequency
GR_2	539.7	4465.6	0.82	0.02	0.00	0.01	0.02	0	0	0	0	0	0	0	0	0
FA_15	571.2	4515.1	0.85	0.03	0.00	0	0	0	0	0	0	0	0	0	0	0
FA_10	566.6	4509.9	0.83	0.02	0.01	0	0	0.01	0	0	0.02	0	0	0	0	0
FA_12	569.5	4519.5	0.79	0.02	0.00	0	0	0	0	0	0	0	0	0	0	0
AL_3	560	4547.1	0.81	0.03	0.01	0	0	0	0	0	0	0	0	0	0	0
FA_2	561.2	4498	0.79	0.03	0.00	0	0	0	0	0	0	0	0	0	0	0
FA_8	567.7	4508.5	0.77	0.05	0.00	0	0.05	0	0	0	0	0	0	0	0	0
WM_8	567.9	4539.2	0.79	0.05	0.00	0	0.02	0	0	0	0.01	0	0	0	0	0
AL_4	560.6	4543.1	0.74	0.08	0.02	0.02	0.01	0.01	0.02	0	0	0	0	0	0	0
WH_22	518.2	4584.8	0.72	0.10	0.02	0	0.01	0	0	0	0	0	0	0	0	0
FA_11	567.4	4516	0.63	0.16	0.02	0.02	0	0.01	0	0	0	0	0	0	0	0.01
GR_1	542.2	4473.8	0.45	0.34	0.00	0	0.02	0.01	0	0	0	0	0	0	0	0
GR_13	543.7	4467.6	0.44	0.37	0.02	0	0.01	0	0	0	0	0	0	0	0	0
GR_15	550.7	4485	0.27	0.57	0.02	0	0	0	0	0	0	0	0	0	0	0
GR_6	555.6	4481.3	0.03	0.79	0.00	0	0	0.02	0	0	0	0	0	0	0	0
WH_9	554.8	4508.2	0.13	0.65	0.00	0	0.06	0	0	0	0	0	0	0	0	0
WH_21	545.7	4510.9	0.39	0.37	0.00	0	0.03	0.02	0.02	0	0	0	0	0	0	0
WH_25	562.5	4514.8	0.48	0.29	0.02	0.03	0.04	0	0	0	0	0	0	0	0	0
WH_26	563.4	4509.9	0.34	0.31	0.02	0.03	0.13	0	0	0	0	0	0	0	0	0
WH_19	535.6	4541.1	0.44	0.30	0.02	0.02	0.06	0.01	0.02	0	0	0	0	0	0	0
AL_13	542.7	4602.8	0.50	0.24	0.02	0.02	0.05	0.02	0.02	0	0.02	0.02	0	0	0	0
FA_23	604	4454.7	0.52	0.04	0.00	0	0	0.21	0.04	0	0	0	0	0	0	0
OH_7	498	4516.7	0.52	0.13	0.00	0	0.07	0.04	0.02	0	0.04	0.03	0	0	0.01	0
OH_6	494.9	4522.1	0.47	0.23	0.02	0	0.02	0.05	0.06	0	0	0	0	0	0	0
BV_4	511.3	4618.3	0.26	0.35	0.02	0	0.10	0.07	0.02	0	0.06	0	0	0	0	0.03
FA_22	575.3	4463.6	0.27	0.51	0.00	0	0	0.09	0.08	0	0	0	0	0	0	0
GA_22	610.5	4420	0.20	0.18	0	0	0	0.35	0.09	0	0	0	0	0	0	0
GA_23	607	4432.4	0.09	0.15	0	0	0	0.33	0.20	0	0	0	0	0	0	0
SO_2	623.7	4471.7	0.13	0.03	0	0	0	0.50	0.20	0	0	0	0	0	0	0
SO_7	612.7	4470.3	0.21	0.00	0	0	0	0.54	0.07	0	0	0	0	0	0	0
SO_11	655	4518	0.03	0	0	0	0	0.75	0	0.07	0	0	0	0	0	0
HK_34	500.4	4593.4	0.02	0.03	0	0	0.02	0.69	0.03	0	0.06	0.01	0.01	0.02	0	0.02
SO_1	638.2	4468.7	0.05	0	0	0	0	0.60	0.19	0	0	0	0	0	0	0
SO_9	655.5	4464.6	0.03	0.03	0	0	0	0.58	0.18	0.02	0	0	0	0	0	0
SO_10	658.7	4481.8	0.00	0	0	0	0	0.46	0.35	0.02	0	0	0	0	0	0
BV_32	525.1	4609.6	0.02	0.02	0.02	0	0	0.23	0.10	0	0.18	0.03	0.01	0.03	0	0.14
BV_5	524.9	4632.6	0.00	0	0	0	0	0.28	0	0	0.12	0.02	0	0.04	0	0.20
